cornerstone_investor,stock_code,company_name
"He Win Hong Kong Holdings Co., Limited",02573,"Newtrend Group Holding Co., Ltd. - H shares"
Health Vision Hong Kong Limited,02677,Distinct Healthcare Holdings Limited
Hefei Jianhui Zhanxin Cornerstone Investment Company Limited,09973,"Chery Automobile Co., Ltd. - H shares"
Hel Ved Master Fund,00600,"Axera Semiconductor Co., Ltd. - H shares"
Hel Ved Master Fund,02026,Pony AI Inc. - W
Hel Ved Master Fund,06809,"Montage Technology Co., Ltd. - H shares"
Hengbang and China Galaxy International Investment Company Limited,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
"Hengtong Optic-electric International Co., Limited",02715,"ESTUN AUTOMATION CO., LTD - H Shares"
Heron Neutron Medical Corp.,02581,BenQ BM Holding Cayman Corp.
Hesai Hong Kong Limited,00068,Manycore Tech Inc.
"HHLR Advisors, Ltd.",01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
"HHLR Advisors, Ltd.",02259,Zijin Gold International Company Limited
"HHLR Advisors, Ltd.",02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
"HHLR Advisors, Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
"HHLR Advisors, Ltd.",02525,Hesai Group - W
"HHLR Advisors, Ltd.",02788,Chuangxin Industries Holdings Limited
"HHLR Advisors, Ltd.",03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
"HHLR Advisors, Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"HHLR Advisors, Ltd.",03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
"HHLR Advisors, Ltd.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
"HHLR Advisors, Ltd.",06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
"HHLR Advisors, Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
"HHLR Advisors, Ltd.",09973,"Chery Automobile Co., Ltd. - H shares"
"HHLR Advisors, Ltd.",09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"HHLR CF, L.P.",01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
"HHLR CF, L.P.",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"HHLR Fund, L.P.",02097,MIXUE Group - H shares
HHLRA,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
HHLRA FUNDS,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Hichain Logistics (Hong Kong) Limited,09927,"Seres Group Co., Ltd. - H shares"
Hield International,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
Hillhouse Investment Management Limited,06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
"Hillhouse Investment Management, Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
Himension Fund,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
HiTai (Hong Kong) Limited,02621,Shouhui Group Ltd.
Hong Kong Chuangli Yingtai Investment Limited,02693,"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD. - H shares"
"Hong Kong Henan Agri International Co., Limited",02714,"Muyuan Foods Co., Ltd. - H shares"
Hong Kong Jinyuan Industry and Trade Limited,02693,"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD. - H shares"
"Hong Kong Mason Electronics Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Hong Kong Shengying Investment Limited,02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
Hong Kong Xinghuang Holdings Limited,02619,"X.J. Electrics (Hu Bei) Co., Ltd - H Shares"
"Hong Kong Xinwei Electronic Co., Limited",01333,"Breton Technology Co., Ltd.- H shares"
"Hong Kong Yunxing Technology Trade Management Co., Limited",02619,"X.J. Electrics (Hu Bei) Co., Ltd - H Shares"
Hong Kong Yuto Printing Company Limited,09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
Hong Kong Zhihan Investment Limited,02597,"Beijing Xunzhong Communication Technology Co., Ltd. - H shares"
"Hongda Group (Hong Kong) Co., Limited",02525,Hesai Group - W
"Hongkong High Tech Industrial (Beijing) Development Investment Co., Limited",02632,"Jiangsu New Vision Automotive Electronics Co., Ltd. - H Shares"
"Hongkong Linktech Technology Co., Limited",09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
"Hongkong Topway Trading Co., Limited",02610,Nanshan Aluminium International Holdings Limited
Hongxing International,03296,"Huaqin Co., Ltd. - H Shares"
Hongxing International Technology Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Honour Goal Investments Limited,09927,"Seres Group Co., Ltd. - H shares"
Horizon Splendor Limited,09609,"Hebei Haiwei Electronic New Material Technology Co., Ltd.- H shares"
Horizon Together Holding Ltd.,02889,PATEO CONNECT Technology (Shanghai) Corporation - H shares
Horizon Together Holding Ltd.,09973,"Chery Automobile Co., Ltd. - H shares"
HQ TELECOM SINGAPORE PTE. LTD.,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
"HSG Growth VI Holdco F, Ltd.",02097,MIXUE Group - H shares
"HSG Growth VI Holdco F, Ltd.",06687,JST Group Corporation Limited
"HSG Growth VII Holdco, Ltd.",03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
"HSG Growth VII Holdco, Ltd.",09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
HT Investment Limited,02648,"Anjoy Foods Group Co., Ltd. - H shares"
Huadeng Summit Fortitude Ventures Ltd,06809,"Montage Technology Co., Ltd. - H shares"
Huadeng Technology Peak Fortitude Ventures Ltd,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Huadeng Technology Space Ventures Ltd,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Huang Guangwei,06681,BrainAurora Medical Technology Limited - B
Huang River Investment Limited,01364,Guming Holdings Limited
Huang River Investment Limited,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Huang River Investment Limited,02718,Mininglamp Technology - W
Huang River Investment Limited,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Huang River Investment Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Huangshan Construction Investment (Hong Kong) International Limited,09973,"Chery Automobile Co., Ltd. - H shares"
"Huangshan Dejun Enterprise Management Co., Ltd.",02720,Ridge Outdoor International Limited
Huaqin Telecom Hong Kong Limited,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
Huaqin Telecom Hong Kong Limited,06809,"Montage Technology Co., Ltd. - H shares"
HUAQIN TELECOM HONG KONG LIMITED,03986,GigaDevice Semiconductor Inc. - H shares
Huatai Capital Investment Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Huatai Capital Investment Limited,02627,"Ab&B Bio-Tech CO., LTD. JS - B - H shares"
Huatai Capital Investment Limited,02648,"Anjoy Foods Group Co., Ltd. - H shares"
Huatai Capital Investment Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Huatai Capital Investment Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Huatai Capital Investment Limited,03986,GigaDevice Semiconductor Inc. - H shares
Huatai Capital Investment Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Huatai Capital Investment Limited,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Huatai Capital Investment Limited,09927,"Seres Group Co., Ltd. - H shares"
"Huatai Capital Investment Limited (in connection with OTC swaps for Jiujiu Hengxin (Xiamen) Private Fund Management Co., Ltd.)",09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Huatai Securities,02635,"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd. - H shares"
"Huatai Securities Co., Ltd.",06960,"SHUANGDENG GROUP CO., LTD. - H shares"
"Hubei Shunjie Investment (Hong Kong) Co., Limited",02619,"X.J. Electrics (Hu Bei) Co., Ltd - H Shares"
"Huikai Hong Kong Economic Development Co., Ltd.",02655,"Guoxia Technology Co., Ltd. - H shares"
Huizhou Huilian Investment Partnership (Limited Partnership),02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Huizhou Huilian Investment Partnership (Limited Partnership),09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Hunan Xingxiang Emerging Industry Investment Fund Partnership (Limited Partnership),02579,"CNGR Advanced Material Co., Ltd. - H shares"
Hundreds Capital,02718,Mininglamp Technology - W
ICBC Wealth,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
"ICBC Wealth Management Co., Ltd.",01989,Delton Technology (Guangzhou) Inc. - H Shares
"ICBC Wealth Management Co., Ltd.",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"ICBC Wealth Management Co., Ltd.",03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
"ICBC Wealth Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"ICBC Wealth Management Co., Ltd.",03986,GigaDevice Semiconductor Inc. - H shares
"ICBC Wealth Management Co., Ltd.",06166,"CIG SHANGHAI CO., LTD. - H shares"
"ICBC Wealth Management Co., Ltd.",06603,IFBH Limited
"ICBC Wealth Management Co., Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
IDG Breyer Capital Fund L.P.,00100,MiniMax Group Inc. - W - P
IDG Breyer Capital Fund L.P.,02259,Zijin Gold International Company Limited
Infini,03696,InSilico Medicine Cayman TopCo
Infini Global Master Fund,02643,CaoCao Inc.
Infini Global Master Fund,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Infini Global Master Fund,02706,"Beijing Haizhi Technology Group Co., Ltd. - H Shares"
Infini Global Master Fund,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Infini Global Master Fund,03887,HashKey Holdings Limited
Infini Global Master Fund,06166,"CIG SHANGHAI CO., LTD. - H shares"
Infini Global Master Fund,06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
Infini Global Master Fund,06613,"Lens Technology Co., Ltd. - H shares"
Infore Funds Series 1 Open-ended Fund Company,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Infore Funds Series 2 Open-ended Fund Company – Infore Technology Fund 2,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Infore Holding (Hong Kong) Limited,02589,"Auntea Jenny (Shanghai) Industrial Co., Ltd. - H shares"
Ingenic Semiconductor HK,03296,"Huaqin Co., Ltd. - H Shares"
Intac,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Integrated Core Strategies (Asia) Pte. Ltd.,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Integrated Core Strategies (Asia) Pte. Ltd.,01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
Integrated Core Strategies (Asia) Pte. Ltd.,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Integrated Core Strategies (Asia) Pte. Ltd.,02714,"Muyuan Foods Co., Ltd. - H shares"
Integrated Core Strategies (Asia) Pte. Ltd.,02788,Chuangxin Industries Holdings Limited
"Invesco Advisers, Inc.",01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
Invesco Hong Kong Limited,02259,Zijin Gold International Company Limited
Investcorp Verdant Holdings Limited,02788,Chuangxin Industries Holdings Limited
IvyRock,03296,"Huaqin Co., Ltd. - H Shares"
IvyRock,07618,"JINGDONG Industrials, Inc."
IvyRock Asset Management Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
J.P. Morgan Investment Management Inc.,06809,"Montage Technology Co., Ltd. - H shares"
Jain Global Master Fund Ltd,06603,IFBH Limited
Jain Global Master Fund Ltd,06687,JST Group Corporation Limited
Jain Global Master Fund Ltd,09927,"Seres Group Co., Ltd. - H shares"
Janchor Partners Pan-Asian Master Fund,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Janchor Partners Pan-Asian Master Fund,06809,"Montage Technology Co., Ltd. - H shares"
Janchor Partners Pan-Asian Master Fund and Janchor Partners Opportunities Master Fund III,00100,MiniMax Group Inc. - W - P
Jane Street Asia Trading Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Jane Street Asia Trading Limited,02698,Softcare Limited
Jane Street Asia Trading Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Jane Street Asia Trading Limited,02788,Chuangxin Industries Holdings Limited
Jane Street Asia Trading Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Jane Street Asia Trading Limited,06603,IFBH Limited
JCC and Guotai Junan Investments (Hong Kong) Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Jiangbei Pharmaceutical Technology (Hong Kong) Limited,02617,"TransThera Sciences (Nanjing), Inc. - B - H shares"
Jiangsu Mixed Ownership Reform Fund,03677,"Jiangsu Zenergy Battery Technologies Group Co., Ltd.- H shares"
"Jiangxi Guokong Private Equity Fund Management Co., Ltd.",09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
"Jiantou International (Hong Kong) Co., Limited",00664,"Hangzhou Tongshifu Cultural and Creative (Group) Co., Ltd. - H Shares"
Jiaxing Xinyang,02627,"Ab&B Bio-Tech CO., LTD. JS - B - H shares"
Jinghui Ruiying (Hong Kong) Limited,09973,"Chery Automobile Co., Ltd. - H shares"
JINGSHENG HENGXING TECHNOLOGY PTE. LTD.,02706,"Beijing Haizhi Technology Group Co., Ltd. - H Shares"
Jinxiu 608 and GTJA HK,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
JinYi Capital,03296,"Huaqin Co., Ltd. - H Shares"
Jinyi Capital Multi-Strategy Fund SPC Ltd.,00600,"Axera Semiconductor Co., Ltd. - H shares"
Jinyi Capital Multi-Strategy Fund SPC Ltd.,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
JKKB Limited,02508,SAINT BELLA Inc.
Joy Mobile Network Pte. Ltd.,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Joyson Electronics Holdings Hong Kong Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
JPMAMAPL,03296,"Huaqin Co., Ltd. - H Shares"
JPMorgan Asset Management (Asia Pacific) Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
JSC International Investment Fund SPC,00600,"Axera Semiconductor Co., Ltd. - H shares"
JSC International Investment Fund SPC (acting for and on behalf of Etown SP),02706,"Beijing Haizhi Technology Group Co., Ltd. - H Shares"
JSC International Investment Fund SPC (acting for and on behalf of Huangshan SP),02889,PATEO CONNECT Technology (Shanghai) Corporation - H shares
JSC International Investment Fund SPC (acting for and on behalf of ShanRui SP),09973,"Chery Automobile Co., Ltd. - H shares"
JSC International Investment Fund SPC (acting for and on behalf of Yongxin I SP),00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
Jump Trading,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Jump Trading Pacific Pte. Ltd.,00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
Jump Trading Pacific Pte. Ltd.,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Jump Trading Pacific Pte. Ltd.,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
Jump Trading Pacific Pte. Ltd.,09927,"Seres Group Co., Ltd. - H shares"
Jump Trading Pacific Pte. Ltd.,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Jun Sheng SP,00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
June Star Global Limited,02591,"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares"
